ctime,country,city,postcode,dnsnames,ipadd,port
07:08:2025 13:31:13,DE,Erfurt,99084,rvr_d  phihig.birv.d,46.182.17.77,80
07:08:2025 13:53:20,US,San Jose,95025,rvr_d  c2-52-53-193-60.u-wt-1.coput.zow.co,52.53.193.60,443
07:08:2025 13:58:17,US,Portland,97204,rvr_d  105789.ip-147-135-46.u,147.135.46.43,8000
07:08:2025 14:22:12,US,Boardman,97818, c2-44-246-163-107.u-wt-2.coput.zow.co,44.246.163.107,5000
07:08:2025 14:47:48,IN,Mumbai,400017,DNS not found,82.112.227.111,443
07:08:2025 17:17:13,VN,S\u01a1n T\u00e2y,53650, ,103.56.162.158,80
07:08:2025 17:24:29,JP,Tokyo,101-8656,DNS not found,163.43.193.189,443
